16/12/2006;19:13:00;3.418;0.000;234.260;14.600;0.000;2.000;17.000
16/12/2006;19:14:00;3.392;0.000;233.300;14.400;0.000;1.000;17.000
16/12/2006;19:15:00;3.394;0.000;233.430;14.400;0.000;1.000;17.000
16/12/2006;19:16:00;3.394;0.000;233.450;14.400;0.000;1.000;16.000
16/12/2006;19:17:00;3.406;0.000;233.910;14.400;0.000;2.000;17.000
16/12/2006;19:18:00;3.420;0.000;234.430;14.600;0.000;1.000;17.000
16/12/2006;19:19:00;3.418;0.000;234.340;14.400;0.000;1.000;17.000
16/12/2006;19:20:00;3.422;0.052;234.580;14.600;0.000;1.000;17.000
16/12/2006;19:21:00;3.332;0.000;234.020;14.200;0.000;1.000;16.000
16/12/2006;19:22:00;3.316;0.046;234.290;14.000;0.000;1.000;17.000
16/12/2006;19:23:00;3.334;0.000;234.360;14.200;0.000;2.000;17.000
16/12/2006;19:24:00;3.262;0.052;232.640;14.000;0.000;0.000;17.000
